RUN	perf.TestSimulation	testsimulation	1707067935604	 	3.0.3
REQUEST	11	openflights	/cgi-bin/nav.pl	1707068086009	1707068086102	OK	 
GROUP	11	openflights	1707068085670	1707068087098	428	OK
REQUEST	11	ticketattributes	/cgi-bin/reservations.pl	1707068087099	1707068087232	OK	 
REQUEST	11	ticketattributes	/cgi-bin/reservations.pl	1707068087234	1707068087435	OK	 
REQUEST	11	ticketattributes	/cgi-bin/reservations.pl	1707068087437	1707068087844	OK	 
GROUP	11	ticketattributes	1707068087098	1707068088818	741	OK
REQUEST	11	Itinerary	/cgi-bin/welcome.pl	1707068088819	1707068088971	OK	 
REQUEST	11	Itinerary	/cgi-bin/nav.pl	1707068088973	1707068089037	OK	 
USER	mainScenario	12	START	1707068091288	1707068091288
REQUEST	12	open	/webtours/	1707068091289	1707068091340	OK	 
REQUEST	12	open	/cgi-bin/welcome.pl	1707068091341	1707068091615	OK	 
REQUEST	12	open	/cgi-bin/nav.pll	1707068091617	1707068091688	OK	 
GROUP	12	open	1707068091289	1707068092703	396	OK
REQUEST	12	login	/cgi-bin/login.pl	1707068092704	1707068092774	OK	 
REQUEST	12	login	/cgi-bin/login.pl	1707068092776	1707068092952	OK	 
REQUEST	12	login	/cgi-bin/nav.pll	1707068092954	1707068093024	OK	 
GROUP	12	login	1707068092703	1707068094018	316	OK
REQUEST	12	openflights	/cgi-bin/welcome.pl	1707068094019	1707068094155	OK	 
REQUEST	12	openflights	/cgi-bin/reservations.pl	1707068094156	1707068094235	OK	 
REQUEST	12	openflights	/cgi-bin/nav.pl	1707068094237	1707068094326	OK	 
REQUEST	11	Itinerary	/cgi-bin/itinerary.pl	1707068089039	1707068094517	OK	 
GROUP	12	openflights	1707068094018	1707068095318	304	OK
REQUEST	12	ticketattributes	/cgi-bin/reservations.pl	1707068095319	1707068095404	OK	 
REQUEST	12	ticketattributes	/cgi-bin/reservations.pl	1707068095406	1707068095500	OK	 
GROUP	11	Itinerary	1707068088818	1707068095534	5694	OK
REQUEST	12	ticketattributes	/cgi-bin/reservations.pl	1707068095503	1707068095603	OK	 
REQUEST	11	signoff	/cgi-bin/welcome.pl	1707068095535	1707068095653	OK	 
